award_id,award_name,country,presented_by
1,Academy Awards,USA,Academy of Motion Picture Arts and Sciences
2,"British Academy Film Awards",UK,British Academy of Film and Television Arts
3,Golden Globe Awards,USA,Hollywood Foreign Press Association s
4,MTV Movie Awards,USA,MTV
5,People's Choice Awards,USA,
6,Screen Actors Guild Awards,USA,SAG-AFTRA
